Date,positive,state,Province_State,size,forecast
2020-03-15,0.3025629349814944,AL,Alabama,0.3025629349814944,
2020-03-16,0.7059801816234872,AL,Alabama,0.7059801816234872,
2020-03-17,0.9076888049444836,AL,Alabama,0.9076888049444836,
2020-03-18,1.1598245840957289,AL,Alabama,1.1598245840957289,
2020-03-19,1.7145232982284688,AL,Alabama,1.7145232982284688,
2020-03-20,2.042299811125088,AL,Alabama,2.042299811125088,
2020-03-21,3.126483661475443,AL,Alabama,3.126483661475443,
2020-03-22,3.479473752287187,AL,Alabama,3.479473752287187,
2020-03-23,4.210667511825799,AL,Alabama,4.210667511825799,
2020-03-24,5.420919251751776,AL,Alabama,5.420919251751776,
2020-03-25,7.135442549980245,AL,Alabama,7.135442549980245,
2020-03-26,12.758070425053017,AL,Alabama,12.758070425053017,
2020-03-27,14.800370236178106,AL,Alabama,14.800370236178106,
2020-03-28,17.54865022892668,AL,Alabama,17.54865022892668,
2020-03-29,20.32214379959038,AL,Alabama,20.32214379959038,
2020-03-30,21.65846342909198,AL,Alabama,21.65846342909198,
2020-03-31,24.73451993473717,AL,Alabama,24.73451993473717,
2020-04-01,27.15502341458913,AL,Alabama,27.15502341458913,
2020-04-02,31.08834156934856,AL,Alabama,31.08834156934856,
2020-04-03,36.10584357445834,AL,Alabama,36.10584357445834,
2020-04-04,39.83745310589678,AL,Alabama,39.83745310589678,
2020-04-05,45.28358593556367,AL,Alabama,45.28358593556367,
2020-04-06,49.6203213369651,AL,Alabama,49.6203213369651,
2020-04-07,53.4275716021489,AL,Alabama,53.4275716021489,
2020-04-08,59.73096608093004,AL,Alabama,59.73096608093004,
2020-04-09,69.81639724697985,AL,Alabama,69.81639724697985,
2020-04-10,74.83389925208964,AL,Alabama,74.83389925208964,
2020-04-11,80.45652712716242,AL,Alabama,80.45652712716242,
2020-04-12,88.87786215081401,AL,Alabama,88.87786215081401,
2020-04-13,94.14749993507505,AL,Alabama,94.14749993507505,
2020-04-14,97.72782799902272,AL,Alabama,97.72782799902272,
2020-04-15,103.70344596490725,AL,Alabama,103.70344596490725,
2020-04-16,109.55299604121612,AL,Alabama,109.55299604121612,
2020-04-17,114.21750795551418,AL,Alabama,114.21750795551418,
2020-04-18,117.36920519490474,AL,Alabama,117.36920519490474,
2020-04-19,121.9580763754574,AL,Alabama,121.9580763754574,
2020-04-20,126.69822902350082,AL,Alabama,126.69822902350082,
2020-04-21,131.8922260740165,AL,Alabama,131.8922260740165,
2020-04-22,137.7922033061556,AL,Alabama,137.7922033061556,
2020-04-23,145.6840531935896,AL,Alabama,145.6840531935896,
2020-04-24,147.04558640100632,AL,Alabama,147.04558640100632,
2020-04-25,154.7357276651193,AL,Alabama,154.7357276651193,
2020-04-26,158.08913352783085,AL,Alabama,158.08913352783085,
2020-04-27,163.8630428703944,AL,Alabama,163.8630428703944,
2020-04-28,168.6031955184378,AL,Alabama,168.6031955184378,
2020-04-29,172.5113000952821,AL,Alabama,172.5113000952821,
2020-04-30,176.97410338625917,AL,Alabama,176.97410338625917,
2020-05-01,180.47879071646148,AL,Alabama,180.47879071646148,
2020-05-02,187.43773822103583,AL,Alabama,187.43773822103583,
2020-05-03,194.77488939433707,AL,Alabama,194.77488939433707,
2020-05-04,202.33896276887444,AL,Alabama,202.33896276887444,
2020-05-05,208.89449302680688,AL,Alabama,208.89449302680688,
2020-05-06,216.35771208968367,AL,Alabama,216.35771208968367,
2020-05-07,224.35041628877815,AL,Alabama,224.35041628877815,
2020-05-08,232.4944019553634,AL,Alabama,232.4944019553634,
2020-05-09,241.2182999139965,AL,Alabama,241.2182999139965,
2020-05-10,246.51315127617264,AL,Alabama,246.51315127617264,
2020-05-11,252.36270135248157,AL,Alabama,252.36270135248157,
2020-05-12,259.951988304934,AL,Alabama,259.951988304934,
2020-05-13,267.69255672487725,AL,Alabama,267.69255672487725,
2020-05-14,276.54252257308593,AL,Alabama,276.54252257308593,
2020-05-15,282.7954898960368,AL,Alabama,282.7954898960368,
2020-05-16,290.5360583159801,AL,Alabama,290.5360583159801,
2020-05-17,296.789025638931,AL,Alabama,296.789025638931,
2020-05-18,304.7313026821952,AL,Alabama,304.7313026821952,
2020-05-19,312.04324027758133,AL,Alabama,312.04324027758133,
2020-05-20,321.3218369503472,AL,Alabama,321.3218369503472,
2020-05-21,330.77692866851885,AL,Alabama,330.77692866851885,
2020-05-22,341.97175726283416,AL,Alabama,341.97175726283416,
2020-05-23,351.42684898100583,AL,Alabama,351.42684898100583,
2020-05-24,361.2349307899893,AL,Alabama,361.2349307899893,
2020-05-25,371.3960026897845,AL,Alabama,371.3960026897845,
2020-05-26,388.18824558125743,AL,Alabama,388.18824558125743,
2020-05-27,399.4587149093181,AL,Alabama,399.4587149093181,
2020-05-28,411.2334557956812,AL,Alabama,411.2334557956812,
2020-05-29,424.16802126614016,AL,Alabama,424.16802126614016,
2020-05-30,437.6824990286469,AL,Alabama,437.6824990286469,
2020-05-31,451.3986854144746,AL,Alabama,451.3986854144746,
2020-06-01,462.996931255432,AL,Alabama,462.996931255432,
2020-06-02,470.03151949375166,AL,Alabama,470.03151949375166,
2020-06-03,475.3011572780127,AL,Alabama,475.3011572780127,
2020-06-04,480.87335799725525,AL,Alabama,480.87335799725525,
2020-06-05,488.81563504051945,AL,Alabama,488.81563504051945,
2020-06-06,505.3557421528412,AL,Alabama,505.3557421528412,
2020-06-07,516.8783472600531,AL,Alabama,516.8783472600531,
2020-06-08,527.5941178739811,AL,Alabama,527.5941178739811,
2020-06-09,540.125266097798,AL,Alabama,540.125266097798,
2020-06-10,,AL,Alabama,551.5957882066119,551.5957882066119
2020-06-11,,AL,Alabama,563.8146589295195,563.8146589295195
2020-06-12,,AL,Alabama,575.476963712725,575.476963712725
2020-06-13,,AL,Alabama,586.9768298060803,586.9768298060803
2020-06-14,,AL,Alabama,598.5203953126072,598.5203953126072
2020-06-15,,AL,Alabama,609.9122238458023,609.9122238458023
2020-06-16,,AL,Alabama,621.302849629752,621.302849629752
2020-06-17,,AL,Alabama,632.5693167217416,632.5693167217416
2020-06-18,,AL,Alabama,643.7460798290301,643.7460798290301
2020-03-20,1.8694937566698084,AK,Alaska,1.8694937566698084,
2020-03-21,2.18107604944811,AK,Alaska,2.18107604944811,
2020-03-22,3.427405220561316,AK,Alaska,3.427405220561316,
2020-03-23,3.427405220561316,AK,Alaska,3.427405220561316,
2020-03-24,5.608481270009426,AK,Alaska,5.608481270009426,
2020-03-25,6.543228148344329,AK,Alaska,6.543228148344329,
2020-03-26,9.191677636959891,AK,Alaska,9.191677636959891,
2020-03-27,10.7495891008514,AK,Alaska,10.7495891008514,
2020-03-28,13.24224744307781,AK,Alaska,13.24224744307781,
2020-03-29,15.890696931693371,AK,Alaska,15.890696931693371,
2020-03-30,17.76019068836318,AK,Alaska,17.76019068836318,
2020-03-31,18.53914642030893,AK,Alaska,18.53914642030893,
2020-04-01,20.720222469757044,AK,Alaska,20.720222469757044,
2020-04-02,22.27813393364855,AK,Alaska,22.27813393364855,
2020-04-03,24.45920998309666,AK,Alaska,24.45920998309666,
2020-04-04,26.64028603254477,AK,Alaska,26.64028603254477,
2020-04-05,28.82136208199288,AK,Alaska,28.82136208199288,
2020-04-06,29.756108960327783,AK,Alaska,29.756108960327783,
2020-04-07,33.1835141808891,AK,Alaska,33.1835141808891,
2020-04-08,35.208799083948065,AK,Alaska,35.208799083948065,
2020-04-09,36.61091940145042,AK,Alaska,36.61091940145042,
2020-04-10,38.32462201173107,AK,Alaska,38.32462201173107,
2020-04-11,40.03832462201173,AK,Alaska,40.03832462201173,
2020-04-12,42.37519181784899,AK,Alaska,42.37519181784899,
2020-04-13,43.15414754979474,AK,Alaska,43.15414754979474,
2020-04-14,44.400476720907946,AK,Alaska,44.400476720907946,
2020-04-15,45.64680589202116,AK,Alaska,45.64680589202116,
2020-04-16,46.73734391674521,AK,Alaska,46.73734391674521,
2020-04-17,48.13946423424757,AK,Alaska,48.13946423424757,
2020-04-18,48.91841996619332,AK,Alaska,48.91841996619332,
2020-04-19,49.69737569813907,AK,Alaska,49.69737569813907,
2020-04-20,50.008957990917374,AK,Alaska,50.008957990917374,
2020-04-21,51.25528716203058,AK,Alaska,51.25528716203058,
2020-04-22,52.19003404036549,AK,Alaska,52.19003404036549,
2020-04-23,52.50161633314379,AK,Alaska,52.50161633314379,
2020-04-24,52.81319862592209,AK,Alaska,52.81319862592209,
2020-04-25,52.81319862592209,AK,Alaska,52.81319862592209,
2020-04-26,53.12478091870039,AK,Alaska,53.12478091870039,
2020-04-27,53.74794550425699,AK,Alaska,53.74794550425699,
2020-04-28,54.6826923825919,AK,Alaska,54.6826923825919,
2020-04-29,55.3058569681485,AK,Alaska,55.3058569681485,
2020-04-30,55.3058569681485,AK,Alaska,55.3058569681485,
2020-05-01,56.707977285650855,AK,Alaska,56.707977285650855,
2020-05-02,56.86376843204,AK,Alaska,56.86376843204,
2020-05-03,57.33114187120746,AK,Alaska,57.33114187120746,
2020-05-04,57.64272416398576,AK,Alaska,57.64272416398576,
2020-05-05,57.79851531037491,AK,Alaska,57.79851531037491,
2020-05-06,57.95430645676406,AK,Alaska,57.95430645676406,
2020-05-07,58.26588874954236,AK,Alaska,58.26588874954236,
2020-05-08,58.73326218870981,AK,Alaska,58.73326218870981,
2020-05-09,58.88905333509897,AK,Alaska,58.88905333509897,
