state,Population,Confirmed,Deaths,Date,Province_State,Deaths_size,Confirmed_size
AK,658615,567,9,2020-06-09,Alaska,3.0,23.811761799581316
AL,4903185,21422,718,2020-06-09,Alabama,26.795522013948524,146.36256351950112
AR,3006295,10079,146,2020-06-09,Arkansas,12.083045973594572,100.39422294136251
AZ,7278717,28296,1071,2020-06-09,Arizona,32.72613634390714,168.21414922651422
CA,39500377,136640,4737,2020-06-09,California,68.82586723027906,369.6484816687335
CO,5744583,28331,1547,2020-06-09,Colorado,39.331920878594275,168.3181511305302
CT,3565287,44179,4097,2020-06-09,Connecticut,64.00781202322104,210.18801107579853
DC,705749,9474,495,2020-06-09,District of Columbia,22.24859546128699,97.3344748791506
DE,973764,10020,410,2020-06-09,Delaware,20.248456731316587,100.09995004993759
FL,21477737,66000,2757,2020-06-09,Florida,52.507142371300304,256.9046515733026
GA,10612915,53247,2250,2020-06-09,Georgia,47.43416490252569,230.7531148218806
HI,1415786,682,17,2020-06-09,Hawaii,4.123105625617661,26.115129714401192
IA,3155070,22237,611,2020-06-09,Iowa,24.71841418861655,149.12075643584967
ID,1718282,3219,83,2020-06-09,Idaho,9.1104335791443,56.73623181001713
IL,12615672,129206,6003,2020-06-09,Illinois,77.47902942086975,359.4523612385931
IN,6732219,38033,2142,2020-06-09,Indiana,46.281745861624536,195.020511741714
KS,2809612,10601,225,2020-06-09,Kansas,15.0,102.96115772464877
KY,4429382,11703,465,2020-06-09,Kentucky,21.563858652847824,108.18040487999663
LA,5946273,67432,4338,2020-06-09,Louisiana,65.86349520030045,259.6767220988435
MA,6863772,103889,7407,2020-06-09,Massachusetts,86.06392972668631,322.31816579274584
MD,8527790,79460,3964,2020-06-09,Maryland,62.960304954788775,281.8865019826242
ME,1296048,2604,96,2020-06-09,Maine,9.797958971132712,51.02940328869229
MI,9961704,64997,5937,2020-06-09,Michigan,77.05193054038295,254.94509212769717
MN,5605685,28520,1215,2020-06-09,Minnesota,34.85685011586675,168.8786546606764
MO,6464990,15349,831,2020-06-09,Missouri,28.827070610799147,123.89108119634763
MS,2995792,18273,840,2020-06-09,Mississippi,28.982753492378876,135.1776608763445
MT,912615,547,13,2020-06-09,Montana,3.605551275463989,23.388031127053
NC,10488084,37227,1055,2020-06-09,North Carolina,32.48076353782343,192.94299676329277
ND,714190,2889,68,2020-06-09,North Dakota,8.246211251235321,53.749418601506754
NE,1848634,15906,181,2020-06-09,Nebraska,13.45362404707371,126.11899143269423
NH,1359711,5079,284,2020-06-09,New Hampshire,16.852299546352718,71.26710321038733
NJ,8882190,164796,12303,2020-06-09,New Jersey,110.9188892840169,405.9507359274029
NM,2074946,9102,397,2020-06-09,New Mexico,19.924858845171276,95.40440241414439
NV,3073131,10044,444,2020-06-09,Nevada,21.071307505705477,100.2197585309404
NY,19453561,379482,30458,2020-06-09,New York,174.52220489095365,616.021103534611
OH,11689100,39162,2406,2020-06-09,Ohio,49.05099387372289,197.89391097252084
OK,3935349,7360,339,2020-06-09,Oklahoma,18.411952639521967,85.79044235810886
OR,4181997,4984,166,2020-06-09,Oregon,12.884098726725126,70.59745037889117
PA,12801989,80870,6008,2020-06-09,Pennsylvania,77.5112895003044,284.3765109849968
RI,1059361,15691,808,2020-06-09,Rhode Island,28.42534080710379,125.26372180324198
SC,5148714,15228,561,2020-06-09,South Carolina,23.68543856465402,123.4017828072188
SD,833519,5518,62,2020-06-09,South Dakota,7.874007874011811,74.28324171709255
TN,6822554,27574,420,2020-06-09,Tennessee,20.493901531919196,166.05420801653898
TX,28870461,78185,1827,2020-06-09,Texas,42.74342054632502,279.6158078507007
UT,2315956,12559,127,2020-06-09,Utah,11.269427669584644,112.06694427885503
VA,12633375,95034,2789,2020-06-09,Virginia,52.81098370604357,308.27585049756976
VT,623989,1084,51,2020-06-09,Vermont,7.14142842854285,32.92415526630866
WA,7601056,24352,1172,2020-06-09,Washington,34.23448553724738,156.05127362504928
WI,5910613,21519,645,2020-06-09,Wisconsin,25.39685019840059,146.6935581407718
WV,1753458,2167,73,2020-06-09,West Virginia,8.54400374531753,46.551047249229526
WY,563439,968,0,2020-06-09,Wyoming,0.0,31.11269837220809
